,0,1,2,3,4
,M,P,R,LOSS,ACC
0,1,0.5,0.002,0.063286445,0.36713555
1,1,0.5,0.01,0.039262575,0.685635124
2,1,0.5,0.05,0.02329497,0.897868713
3,1,0.5,0.1,0.02329497,0.897868713
4,1,0.5,0.2,0.021530264,0.915515772
5,1,0.5,0.3,0.020080989,0.930008525
6,1,0.5,0.4,0.021236147,0.944543905
7,1,1,0.002,0.063286445,0.36713555
8,1,1,0.01,0.056227621,0.437723785
9,1,1,0.05,0.027387042,0.857331628
10,1,1,0.1,0.023039216,0.900809889
11,1,1,0.2,0.02213555,0.935933504
12,1,1,0.3,0.02097613,0.947527707
13,1,1,0.4,0.019522592,0.962063086
14,1,2,0.002,0.063286445,0.36713555
15,1,2,0.01,0.054880648,0.451193521
16,1,2,0.05,0.02243393,0.880392157
17,1,2,0.1,0.021845695,0.88627451
18,1,2,0.2,0.021236147,0.918456948
19,1,2,0.3,0.020656436,0.924254049
20,1,2,0.4,0.019207161,0.938746803
21,1,4,0.002,0.063286445,0.36713555
22,1,4,0.01,0.056040068,0.517860188
23,1,4,0.05,0.019198636,0.88627451
24,1,4,0.1,0.021551577,0.889215686
25,1,4,0.2,0.021231884,0.918499574
26,1,4,0.3,0.020068201,0.930136402
27,1,4,0.4,0.017446718,0.956351236
28,1,6,0.002,0.063286445,0.36713555
29,1,6,0.01,0.027352941,0.804731458
30,1,6,0.05,0.027352941,0.804731458
31,1,6,0.1,0.02243393,0.880392157
32,1,6,0.2,0.021820119,0.912617221
33,1,6,0.3,0.020656436,0.924254049
34,1,6,0.4,0.017446718,0.956351236
35,1,10,0.002,0.063286445,0.36713555
36,1,10,0.01,0.045038363,0.627877238
37,1,10,0.05,0.02415601,0.862787724
38,1,10,0.1,0.027058824,0.886317136
39,1,10,0.2,0.027028986,0.912702472
40,1,10,0.3,0.02615942,0.921398124
41,1,10,0.4,0.022953964,0.953452685
42,1,12,0.002,0.063286445,0.36713555
43,1,12,0.01,0.02529838,0.773103154
44,1,12,0.05,0.023849105,0.865856777
45,1,12,0.1,0.02587809,0.871653879
46,1,12,0.2,0.023512361,0.921398124
47,1,12,0.3,0.021184996,0.944671782
